probability,Predict,TRUE,id,Text
[0.23704472 0.76295537],1,0,s902893361664753664,Harris County and surrounding county officials are asking that you not come back into flooded areas until everything has been cleared.
[0.04676482 0.9532352 ],1,0,s900008370609901568,"Burger Eatery appears to have closed. More info on the blog, link in profile#jceats @ Burger Eatery "
[0.98720413 0.01279592],0,1,s805885036927000578,highway is blocked in Dadar #VT #BTV by a TT unit that has jack knifed. Delays
[0.183449 0.816551],1,2,s906537039373447169,Delays on New Jersey Turnpike - Eastern Spur northbound outside exit Interchange 16E - NJ /Lincoln Tunnel due to delays on NJ eastbound
[0.33303946 0.6669605 ],1,1,s902199259893817345,"New: Crash in Orange on SR- east at Exit 13A Conway Rd, right lanes blocked. Last updated at ::30PM. #fl511 "
[0.27408084 0.7259192 ],1,1,s897816974037852164,ON-TIME TRAFFIC ALERT: A disabled semi is blocking BOTH lanes of Western Express Highway
[0.37788972 0.6221103 ],1,1,s900856532988035073,Updated: Incident on #I95 SB from Exit 5A - White Plains Road to START ROUTE highway; George Washington Bridge 
[0.6729785  0.32702148],0,0,s903999331686076416," We are here to help! Please DM the service tag, email address and registered owner's name so we may assist you with this. (/)"
[0.335562 0.664438],1,0,s860480797488316416,"Tonight: Paul Giamatti, Pup Quiz w/ stand-up from Puppy Predictors, and #ThankYouNoteFriday! #FallonTonight"
[0.09622408 0.9037759 ],1,1,s905026160404332545,Updated: Incident on #NJ3 EB at NJ 
[0.04646437 0.9535357 ],1,1,s902887893546524673,UPDATE: Roadwork on highway eastbound between Exit: PA - HICKORY RUN STATE PARK { # } and Exit: PA - BLAKESLEE { # }. There is
[0.12799238 0.87200767],1,0,s904438966325092352,My brother  the best in the game ...can't wait #birdGang 🦅
[0.00903378 0.9909662 ],1,2,s816660471281426432,Snoqualmie: Clear skies - Roadway is bare &amp; dry with ice in places 
[0.01496049 0.9850395 ],1,2,s901157251628625924,Cleared: Construction on #BabylonBranch WB from Lindenhurst Station to Amityville Station
[0.61187446 0.3881255 ],0,0,s540223060478287873,Restaurant adds Line for Kitchen Gratuity to All Checks. 
[0.22565097 0.77434903],1,1,s903060224592027649,"Construction; highway SB: at Goregaon Bridge, unknown lns clsd, Began: 9PM, Sch end: / :30AM.| :01P"
[0.0276845 0.9723155],1,0,s836987661147590656, Hi Remy. Please visit our Help Center for information about hacked Pages: Thank you! -CB
[0.42270488 0.5772951 ],1,1,s902202514094903297,"New: Object on roadway in Orange on highway east at Exit Princeton St, right lane blocked. Last updated at..."
[0.13868926 0.86131084],1,2,s900954129018667008,Cleared: Incident on #US9 NB at Mill Road
[0.30894706 0.6910529 ],1,1,s898714395236225024,Turnpike Roadwork on Pennsylvania Turnpike highway northbound between Exit - highway/highway and Exit - highway affecting the left lane
[0.25533217 0.7446678 ],1,0,s907225082866610177," You're welcome, we are glad to help! If you have and more questions or concerns let us know. We are always here for you!^AdaD"
[0.445876 0.554124],1,0,s629022045280415744,So #johnivey doesn't need twitter... He is already following you. Make him trend :) lol
[0.45223865 0.54776144],1,0,s865350911329226754, You want to have + s in pass &amp; in the run. You can do this by alignment &amp; remove key players fr… 
[0.5043562 0.4956438],0,1,s902581364297478144,Flooding on Belle Terre Blvd SB at Airline Hwy #traffic #NOLA 
[0.00141472 0.99858534],1,0,s898488781107412996,"Cubs' epic rally falls short, Jon Lester likely to go on disabled list - via  "
[0.21079662 0.7892034 ],1,0,s898200224677711872,MICROCAPITAL BRIEF: UBS Wealth Management Customers Investing $325m in The Rise Fund ... #alternativeinvestments #…
[0.02890471 0.9710953 ],1,0,s905479961594626048,The final episode of First Touch Series: Two-touch rapid distance. touches w/ each foot. Go.
[0.2058744 0.7941256],1,1,s903343332981702656,Updated: Incident on #BLine SB from West 4th Street Station to Coney Island - Stillwell 
[0.99683964 0.0031603 ],0,0,s843436264619696132,Happy Monday... FIRST!! (Is this a game? I'm very competitive.) 
[0.00317881 0.99682117],1,2,s904159522616311808,Cleared : PM : On highway westbound just west of SR there is a disabled vehicle partially blocking the right lane.
[9.9997926e-01 2.0729149e-05],0,0,s891660955146256384,It has been a steady &amp; sustained precipitation pattern so far over the desert Southwest-monsoon season. 
[0.11364965 0.88635033],1,0,s901253833216675840,"A Silver Alert has been issued for John Price out of Fort Myers. Look for a Blue Lincoln MKZ, FL Tag URP1T...."
[0.00183815 0.99816185],1,1,s759478841295400960,Update: Construction on #7Line Queens bound from Queensboro Plaza Station to Willets Point-Shea Stadium Station 
[0.00182992 0.99817   ],1,0,s868141336452616192,"Top of with Hooven leading us off #LetsGo #Hooooov

UCF: -"
[0.3927842  0.60721576],1,2,s895646851231252480,highway MM . WB near Keystne/mile All lanes slow &lt;= mins due to an oversize load in transit
[0.0042894 0.9957106],1,1,s900713313897762817,Construction on #I678 SB at Nassau Expressway; NY 
[0.30789858 0.6921014 ],1,0,s896118158108512256," Good afternoon Rae Marie, are you a AT&amp;T wireless customer?"
[0.00119808 0.99880195],1,2,s900309619834314752,UPDATE: #PaisleyCanal disruption is now expected until :. Remember you can travel to / from Paisley Gilmour Street station ^AE
[0.98858076 0.0114192 ],0,0,s899444757591719937,Traveling across New England tomorrow? Warm &amp; mostly sunny. Risk of storms further west. #Boston25 
[0.09853001 0.90147   ],1,0,s849617629971185664,"Taking a stroll on #NationalWalkingDay? In , there were , athletic footwear stores in the U.S. "
[0.97638696 0.02361303],0,2,s900414675757789184,"Cleared: Crash in Orange on highway east at Exit 83B South St and traffic backed up until John Young Pkwy, left lanes blocked. Last..."
[0.06583397 0.934166  ],1,1,s903034861958651904,Roadwork on highway northbound between Exit 46A - highway North and Exit - PA . There is a lane restriction.
[0.01238893 0.987611  ],1,2,s898148031270400000,Pls use caution if traveling Rte east milling begins today in #Goshen expect delays #matraffic
[0.04210899 0.95789105],1,1,s905131195893239813,"New: Disabled vehicle in Duval on highway E north before Baymeadows, right lane blocked. Last updated at..."
[0.04862395 0.9513761 ],1,0,s830233056929775616,Watching about to get another solid road win at E. Michigan. Keep raking them up boys! #GoZips 
[0.0064889  0.99351114],1,0,s879747292764438528,Department of Commerce Recognizes #LGBT #PrideMonth 
[0.625214   0.37478605],0,0,s835195728934895617,"""The rate of change you experience today is the slowest you will ever experience""  drop… "
[4.2283942e-04 9.9957711e-01],1,0,s903361285429100544,The only mood I'm trying to be in this weekend: that time K was in a trash can at ultra freaking out. lmaooo
[0.008534  0.9914659],1,2,s898582189381570560,Abandoned Vehicle cleared on highway NB @ MP before Exit : Green Springs Ave in Homewood
[0.0087721  0.99122787],1,1,s898601924274126853,CRASH: on highway W Beltway SB before Normandy Blvd on the left shoulder. #WOKVtraffic
[0.94859976 0.05140023],0,1,s891042364722204672,"Tree on Power Lines on Eastbound highway EB at STRINGTOWN.

Be prepared to stop, use caution when traveling through this area."
